Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.20 Нарушение правил пользования внешними световыми приборами звуковыми сигналами аварийной сигнализацией или знаком аварийной остановки;;Нарушение правил пользования внешними световыми приборами звуковыми сигналами аварийной сигнализацией или знаком аварийной остановки;предупреждение или штраф 500 руб.
Статья 12.21 Нарушение правил перевозки грузов правил буксировки;ч. 1;Нарушение правил перевозки грузов а равно правил буксировки;предупреждение или штраф 500 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 1;Движение крупногабаритного транспортного средства с превышением допустимых габаритов на величину не более 10 см без специального разрешения либо с превышением габаритов указанных в специальном разрешении на величину не более 10 см;штраф для собственника (владельца) транспортного средства 150 000 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 4;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 10 но не более 20 см или с превышением допустимой массы или нагрузки на ось на величину более 10 но не более 20% без специального разрешения;штраф для собственника 300 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 5;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 20 но не более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 20 но не более 50% без специального разрешения;штраф для собственника 450 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 6;Движение тяжеловесного и (или) крупногабаритного транспортного средства с превышением допустимых габаритов на величину более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 50% без специального разрешения;штраф для собственника 600 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 7;Нарушение правил движения тяжеловесных и (или) крупногабаритных транспортных средств за исключением случаев предусмотренных ч. 1-6;штраф для водителя 1500-2250 руб.; для должностных лиц ответственных за перевозку 7500-150 тыс. руб.; для юридических лиц 75 тыс.-150 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 8;Предоставление грузоотправителем недостоверных сведений о массе или габаритах груза если это повлекло нарушение предусмотренное ч. 1 или 4;штраф для граждан 2250-3000 руб.; для должностных лиц 22 500-30 000 руб.; для юридических лиц 300 тыс.-450 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 9;Предоставление грузоотправителем недостоверных сведений о массе или габаритах груза если это повлекло нарушение предусмотренное ч. 5 или 6;штраф для граждан 7500 руб.; для должностных лиц 37 500-52 500 руб.; для юридических лиц 525 тыс.-600 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 10;Превышение допустимой массы и (или) нагрузки на ось юридическими лицами или индивидуальными предпринимателями осуществившими погрузку груза в транспортное средство;штраф для ИП 120 тыс.-150 тыс. руб.; для юридических лиц 375 тыс.-600 тыс. руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 11;Несоблюдение требований предписанных дорожными знаками запрещающими движение транспортных средств общая фактическая масса или нагрузка на ось которых превышает указанные на знаке без специального разрешения;штраф для водителя 7500 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 12;Невыполнение законного требования уполномоченного должностного лица о прохождении весового и габаритного контроля транспортного средства либо отказ или уклонение от выполнения указанного требования;штраф для собственника (владельца) транспортного средства 600 000 руб.
Статья 12.21.1 Нарушение правил движения тяжеловесного и (или) крупногабаритного транспортного средства;ч. 13;Движение транспортного средства имеющего разрешенную максимальную массу свыше 3,5 тонны с нарушением требований в зоне автоматического весового и габаритного контроля транспортных средств;штраф для собственника (владельца) транспортного средства 600 000 руб.
Статья 12.21.2 Нарушение правил перевозки опасных грузов;ч. 1;Перевозка опасных грузов водителем не имеющим свидетельства о подготовке водителей транспортных средств перевозящих опасные грузы а равно перевозка опасных грузов на транспортном средстве конструкция которого не соответствует требованиям;штраф для водителя 2000-2500 руб. или лишение прав на 4-6 месяцев; для должностных лиц 15 тыс.-20 тыс. руб.; для юридических лиц 400 тыс.-500 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.2 Нарушение правил перевозки опасных грузов;ч. 2;Нарушение правил перевозки опасных грузов за исключением случаев предусмотренных ч. 1;штраф для водителя 1000-1500 руб.; для должностных лиц 5 тыс.-10 тыс. руб.; для юридических лиц 150 тыс.-250 тыс. руб.
Статья 12.21.3 Несоблюдение требований законодательства РФ о внесении платы в счет возмещения вреда причиняемого автомобильным дорогам транспортными средствами имеющими разрешенную максимальную массу свыше 12 тонн;ч. 1;Движение транспортного средства имеющего разрешенную максимальную массу свыше 12 тонн по автомобильным дорогам федерального значения без внесения платы;штраф для водителя (если т/с принадлежит иностранному перевозчику) 5 тыс. руб.; для собственника (владельца) т/с 5 тыс. руб.
Статья 12.21.3 Несоблюдение требований законодательства РФ о внесении платы в счет возмещения вреда причиняемого автомобильным дорогам транспортными средствами имеющими разрешенную максимальную массу свыше 12 тонн;ч. 2;Повторное совершение административного правонарушения предусмотренного ч. 1;штраф для водителя (если т/с принадлежит иностранному перевозчику) 10 тыс. руб.; для собственника (владельца) т/с 10 тыс. руб.
Статья 12.21.4 Неисполнение обязанности по внесению платы за проезд по платным автомобильным дорогам;ч. 1;Неисполнение обязанности по внесению платы за проезд транспортного средства по платным автомобильным дорогам платным участкам автомобильных дорог за исключением случаев предусмотренных ч. 2;штраф 1500 руб.
Статья 12.21.4 Неисполнение обязанности по внесению платы за проезд по платным автомобильным дорогам;ч. 2;Неисполнение обязанности по внесению платы за проезд грузового транспортного средства или автобуса по платным автомобильным дорогам платным участкам автомобильных дорог;штраф 5 тыс. руб.
Статья 12.21.5 Нарушение водителем правил движения тяжеловесного и (или) крупногабаритного транспортного средства принадлежащего иностранному перевозчику;ч. 1;Управление транспортным средством принадлежащим иностранному перевозчику с превышением допустимых габаритов на величину не более 10 см без специального разрешения;штраф для водителя 150 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.5 Нарушение водителем правил движения тяжеловесного и (или) крупногабаритного транспортного средства принадлежащего иностранному перевозчику;ч. 2;Управление транспортным средством принадлежащим иностранному перевозчику с превышением допустимых габаритов на величину более 10 но не более 20 см или с превышением допустимой массы или нагрузки на ось на величину более 10 но не более 20%;штраф для водителя 300 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.5 Нарушение водителем правил движения тяжеловесного и (или) крупногабаритного транспортного средства принадлежащего иностранному перевозчику;ч. 3;Управление транспортным средством принадлежащим иностранному перевозчику с превышением допустимых габаритов на величину более 20 но не более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 20 но не более 50%;штраф для водителя 450 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.5 Нарушение водителем правил движения тяжеловесного и (или) крупногабаритного транспортного средства принадлежащего иностранному перевозчику;ч. 4;Управление транспортным средством принадлежащим иностранному перевозчику с превышением допустимых габаритов на величину более 50 см или с превышением допустимой массы или нагрузки на ось на величину более 50%;штраф для водителя 600 тыс. руб.; задержание т/с помещение на спецстоянку
Статья 12.21.5 Нарушение водителем правил движения тяжеловесного и (или) крупногабаритного транспортного средства принадлежащего иностранному перевозчику;ч. 5;Управление транспортным средством принадлежащим иностранному перевозчику с нарушением требований в зоне автоматического весового и габаритного контроля транспортных средств;штраф для водителя 600 000 руб.
Статья 12.22 Нарушение правил учебной езды;;Нарушение правил учебной езды водителем обучающим вождению транспортного средства;предупреждение или штраф 500 руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 1;Нарушение правил перевозки людей за исключением случаев предусмотренных ч. 2-6;штраф 500 руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 2;Перевозка людей вне кабины автомобиля (за исключением случаев разрешенных ПДД) трактора других самоходных машин на грузовом прицепе в прицепе-даче в кузове грузового мотоцикла или вне предусмотренных конструкцией мотоцикла мест для сидения;штраф 1000 руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 3;Нарушение требований к перевозке детей установленных Правилами дорожного движения;штраф для водителя 5 тыс. руб.; для должностных лиц 50 тыс. руб.; для юридических лиц 200 тыс. руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 4;Организованная перевозка группы детей автобусами не соответствующими требованиям Правил либо водителем не соответствующим требованиям либо без договора фрахтования программы маршрута списка детей или списка сопровождающих;штраф для водителя 3 тыс. руб.; для должностных лиц 25 тыс. руб.; для юридических лиц 100 тыс. руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 5;Нарушение требований к перевозке детей в ночное время установленных Правилами организованной перевозки группы детей автобусами;штраф для водителя 5 тыс. руб. либо лишение права управления на срок от 4 до 6 месяцев; для должностных лиц 50 тыс. руб.; для юридических лиц 200 тыс. руб.
Статья 12.23 Нарушение правил перевозки людей;ч. 6;Нарушение требований к перевозке детей установленных Правилами организованной перевозки группы детей автобусами за исключением случаев предусмотренных ч. 4-5;штраф для должностных лиц 25 тыс. руб.; для юридических лиц 100 тыс. руб.
Статья 12.24 Нарушение Правил дорожного движения или правил эксплуатации транспортного средства повлекшее причинение вреда здоровью потерпевшего;ч. 1;Нарушение Правил дорожного движения или правил эксплуатации транспортного средства повлекшее причинение легкого вреда здоровью потерпевшего (кратковременное расстройство здоровья или незначительная стойкая утрата общей трудоспособности);штраф 3750-7500 руб. или лишение прав на 1-1,5 года
Статья 12.24 Нарушение Правил дорожного движения или правил эксплуатации транспортного средства повлекшее причинение вреда здоровью потерпевшего;ч. 2;Нарушение Правил дорожного движения или правил эксплуатации транспортного средства повлекшее причинение средней тяжести вреда здоровью потерпевшего (неопасное для жизни длительное расстройство здоровья или значительная стойкая утрата общей трудоспособности менее чем на одну треть);штраф 15 тыс.-37 500 руб. или лишение прав на 1,5-2 года
Статья 12.25 Невыполнение требования о предоставлении транспортного средства или об остановке транспортного средства;ч. 1;Невыполнение требования о предоставлении транспортного средства сотрудникам полиции или иным лицам которым в случаях предусмотренных законодательством предоставлено право использовать транспортные средства;штраф 500 руб.
Статья 12.25 Невыполнение требования о предоставлении транспортного средства или об остановке транспортного средства;ч. 2;Невыполнение законного требования сотрудника полиции должностного лица таможенного органа или федерального органа исполнительной власти в сфере транспорта об остановке транспортного средства;штраф от 7 000 до 10 000 руб.
Статья 12.25 Невыполнение требования о предоставлении транспортного средства или об остановке транспортного средства;ч. 2 (повторное);Повторное совершение административного правонарушения предусмотренного ч. 2;штраф 10 000 руб. или лишение права управления транспортными средствами на срок от 4 до 6 мес.
Статья 12.25 Невыполнение требования о предоставлении транспортного средства или об остановке транспортного средства;ч. 3;Невыполнение законного требования должностного лица военной автомобильной инспекции об остановке транспортного средства Вооруженных Сил РФ;штраф 500-800 руб.
Статья 12.26 Невыполнение водителем транспортного средства требования о прохождении медицинского освидетельствования на состояние опьянения;ч. 1;Невыполнение водителем транспортного средства законного требования уполномоченного должностного лица о прохождении медицинского освидетельствования на состояние опьянения если такие действия не содержат уголовно наказуемого деяния;штраф 45 тыс. руб. с лишением прав на 1,5-2 года; задержание т/с помещение на спецстоянку
Статья 12.26 Невыполнение водителем транспортного средства требования о прохождении медицинского освидетельствования на состояние опьянения;ч. 2;Невыполнение водителем транспортного средства не имеющим права управления либо лишенным права управления законного требования уполномоченного должностного лица о прохождении медицинского освидетельствования на состояние опьянения;арест от 10 до 15 суток или штраф 45 тыс. руб. для лиц в отношении которых не может применяться административный арест; задержание т/с помещение на спецстоянку
Статья 12.27 Невыполнение обязанностей в связи с дорожно-транспортным происшествием;ч. 1;Невыполнение водителем обязанностей предусмотренных Правилами дорожного движения в связи с дорожно-транспортным происшествием участником которого он является за исключением случаев предусмотренных ч. 2;штраф 1000 руб.
Статья 12.27 Невыполнение обязанностей в связи с дорожно-транспортным происшествием;ч. 2;Оставление водителем в нарушение Правил дорожного движения места дорожно-транспортного происшествия участником которого он являлся при отсутствии признаков уголовно наказуемого деяния;лишение прав на 1-1,5 года или арест до 15 суток
Статья 12.27 Невыполнение обязанностей в связи с дорожно-транспортным происшествием;ч. 3;Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки наркотические или психотропные вещества после дорожно-транспортного происшествия к которому он причастен либо после того как транспортное средство было остановлено по требованию сотрудника полиции;штраф 45 тыс. руб. с лишением прав на 1,5-2 года; задержание т/с помещение на спецстоянку
Статья 12.28 Нарушение правил установленных для движения транспортных средств в жилых зонах;ч. 1;Нарушение правил установленных для движения транспортных средств в жилых зонах за исключением случая предусмотренного ч. 2;штраф 1500 руб.
Статья 12.28 Нарушение правил установленных для движения транспортных средств в жилых зонах;ч. 2;Нарушение предусмотренное ч. 1 совершенное в Москве или Санкт-Петербурге;штраф 3 тыс. руб.
Статья 12.29 Нарушение Правил дорожного движения пешеходом или иным лицом участвующим в процессе дорожного движения;ч. 1;Нарушение пешеходом или пассажиром транспортного средства Правил дорожного движения;предупреждение или штраф 500 руб.
Статья 12.29 Нарушение Правил дорожного движения пешеходом или иным лицом участвующим в процессе дорожного движения;ч. 2;Нарушение Правил дорожного движения лицом управляющим велосипедом либо возчиком или другим лицом непосредственно участвующим в процессе дорожного движения;штраф 800 руб.
Статья 12.29 Нарушение Правил дорожного движения пешеходом или иным лицом участвующим в процессе дорожного движения;ч. 3;Нарушение Правил дорожного движения лицами указанными в ч. 2 совершенное в состоянии опьянения;штраф 1000-1500 руб.
Статья 12.30 Нарушение Правил дорожного движения пешеходом или иным участником дорожного движения повлекшее создание помех или причинение вреда здоровью;ч. 1;Нарушение Правил дорожного движения пешеходом пассажиром транспортного средства или иным участником дорожного движения (за исключением водителя) повлекшее создание помех в движении транспортных средств;штраф 1000 руб.
Статья 12.30 Нарушение Правил дорожного движения пешеходом или иным участником дорожного движения повлекшее создание помех или причинение вреда здоровью;ч. 2;Нарушение Правил дорожного движения пешеходом пассажиром транспортного средства или иным участником дорожного движения (за исключением водителя) повлекшее по неосторожности причинение легкого или средней тяжести вреда здоровью потерпевшего;штраф 1000-1500 руб.
Статья 12.31 Выпуск на линию транспортного средства не зарегистрированного не прошедшего технического осмотра с заведомо подложными номерами имеющего неисправности с установленными без разрешения устройствами для подачи сигналов;ч. 1;Выпуск на линию транспортного средства не зарегистрированного в установленном порядке или не прошедшего технического осмотра;штраф для должностных лиц ответственных за техническое состояние и эксплуатацию транспортных средств 500 руб.; для юридических лиц 50 тыс. руб.
Статья 12.31 Выпуск на линию транспортного средства не зарегистрированного не прошедшего технического осмотра с заведомо подложными номерами имеющего неисправности с установленными без разрешения устройствами для подачи сигналов;ч. 2;Выпуск на линию транспортного средства имеющего неисправности с которыми запрещена эксплуатация или переоборудованного без соответствующего разрешения;штраф для должностных лиц ответственных за техническое состояние и эксплуатацию транспортных средств 5 тыс.-8 тыс. руб.
Статья 12.31 Выпуск на линию транспортного средства не зарегистрированного не прошедшего технического осмотра с заведомо подложными номерами имеющего неисправности с установленными без разрешения устройствами для подачи сигналов;ч. 3;Выпуск на линию транспортного средства с заведомо подложными государственными регистрационными знаками либо с установленными на передней части световыми приборами с огнями красного цвета;штраф для должностных лиц 15 тыс.-20 тыс. руб.; для юридических лиц 50 тыс. руб.
Статья 12.31 Выпуск на линию транспортного средства не зарегистрированного не прошедшего технического осмотра с заведомо подложными номерами имеющего неисправности с установленными без разрешения устройствами для подачи сигналов;ч. 4;Выпуск на линию транспортного средства с установленными на нем без соответствующего разрешения устройствами для подачи специальных световых или звуковых сигналов а равно с незаконно нанесенными специальными цветографическими схемами автомобилей оперативных служб;штраф для должностных лиц 20 тыс. руб.; для юридических лиц 50 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 1;Осуществление перевозок с нарушением профессиональных и квалификационных требований предъявляемых к работникам;штраф для должностных лиц 20 тыс. руб.; для юридических лиц 100 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 2;Осуществление перевозок с нарушением требований о проведении предрейсовых и послерейсовых медицинских осмотров водителей транспортных средств;штраф для граждан 3 тыс. руб.; для должностных лиц 5 тыс. руб.; для юридических лиц 30 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 3;Осуществление перевозок с нарушением требований о проведении предрейсового контроля технического состояния транспортных средств;штраф для граждан 3 тыс. руб.; для должностных лиц 5 тыс. руб.; для юридических лиц 30 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 4;Осуществление перевозок с нарушением требований обеспечения безопасности перевозок пассажиров и грузов в особых условиях;штраф для водителя 2500 руб.; для должностного лица 20 тыс. руб.; для юридического лица 100 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 5;Осуществление перевозок с нарушением требования о запрете допускать водителей к работе без прохождения ими соответствующих инструктажей;штраф для должностного лица 10 тыс. руб.; для юридического лица 30 тыс. руб.
Статья 12.31.1 Нарушение требований обеспечения безопасности перевозок пассажиров и багажа грузов автомобильным транспортом и городским наземным электрическим транспортом;ч. 6;Осуществление перевозок с нарушением Правил обеспечения безопасности перевозок за исключением случаев предусмотренных ч. 1-5;штраф для водителя 1500 руб.; для должностного лица 10 тыс. руб.; для юридического лица 25 тыс. руб.
Статья 12.32 Допуск к управлению транспортным средством водителя находящегося в состоянии опьянения либо не имеющего права управления транспортным средством;;Допуск к управлению транспортным средством водителя находящегося в состоянии опьянения либо не имеющего права управления транспортным средством;штраф для должностных лиц ответственных за техническое состояние и эксплуатацию транспортных средств 20 тыс. руб.; для юридических лиц 100 тыс. руб.
Статья 12.32.1 Допуск к управлению транспортным средством водителя не имеющего российского национального водительского удостоверения;;Допуск к управлению транспортным средством водителя не имеющего в случаях предусмотренных законодательством РФ о безопасности дорожного движения российского национального водительского удостоверения;штраф для должностных лиц ответственных за техническое состояние и эксплуатацию транспортных средств 50 тыс. руб.
Статья 12.33 Повреждение дорог железнодорожных переездов или других дорожных сооружений;;Повреждение дорог железнодорожных переездов или других дорожных сооружений либо технических средств регулирования дорожного движения а равно умышленное создание помех в дорожном движении в том числе путем загрязнения дорожного покрытия;штраф для граждан 5 тыс.-10 тыс. руб.; для должностных лиц 25 тыс. руб.; для юридических лиц 300 тыс. руб.
Статья 12.34 Несоблюдение требований по обеспечению безопасности дорожного движения при ремонте и содержании дорог;ч. 1;Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве реконструкции ремонте и содержании дорог железнодорожных переездов или других дорожных сооружений либо непринятие мер по своевременному устранению помех в дорожном движении;штраф для должностных лиц ответственных за состояние дорог 20 тыс.-30 тыс. руб.; для юридических лиц 200 тыс.-300 тыс. руб.
Статья 12.34 Несоблюдение требований по обеспечению безопасности дорожного движения при ремонте и содержании дорог;ч. 2;Те же действия повлекшие причинение легкого или средней тяжести вреда здоровью потерпевшего;штраф для должностных лиц 50 тыс.-100 тыс. руб.; для юридических лиц 400 тыс.-500 тыс. руб.
Статья 12.35 Незаконное ограничение прав на управление транспортным средством и его эксплуатацию;;Применение к владельцам и водителям транспортных средств не предусмотренных федеральным законом мер направленных на ограничение прав на управление пользование транспортным средством либо его эксплуатацию;штраф для граждан 2 тыс. руб.; для должностных лиц 20 тыс. руб.
Статья 12.36.1 Нарушение правил пользования телефоном водителем транспортного средства;;Пользование водителем во время движения транспортного средства телефоном не оборудованным техническим устройством позволяющим вести переговоры без использования рук;штраф 1500 руб.
Статья 12.37 Несоблюдение требований об обязательном страховании гражданской ответственности владельцев транспортных средств;ч. 1;Управление транспортным средством в период его использования не предусмотренный страховым полисом ОСАГО а равно управление транспортным средством с нарушением предусмотренного данным страховым полисом условия управления этим транспортным средством только указанными в данном страховом полисе водителями;штраф 500 руб.
Статья 12.37 Несоблюдение требований об обязательном страховании гражданской ответственности владельцев транспортных средств;ч. 2;Неисполнение владельцем транспортного средства установленной федеральным законом обязанности по страхованию своей гражданской ответственности а равно управление транспортным средством если такое обязательное страхование заведомо отсутствует;штраф 800 руб.
Статья 12.37 Несоблюдение требований об обязательном страховании гражданской ответственности владельцев транспортных средств;ч. 3;Повторное совершение административного правонарушения предусмотренного ч. 2;штраф 3 тыс.-5 тыс. руб.
